Tempo (s),Posicao X,Posicao Y
13.296616666666667,264,593
13.3133,270,593
13.329983333333335,275,593
13.346666666666668,281,593
13.36335,285,593
13.380033333333333,290,592
13.396716666666668,295,592
13.413400000000001,300,592
13.430083333333334,304,591
13.446766666666667,308,591
13.46345,312,591
13.480133333333335,316,591
13.496816666666668,319,590
13.5135,322,590
13.530183333333333,325,589
13.546866666666668,328,589
13.563550000000001,329,589
13.580233333333334,331,589
13.596916666666669,332,589
13.6136,333,589
13.630283333333335,333,589
13.646966666666668,334,589
13.66365,333,590
13.680333333333333,333,590
13.697016666666668,331,590
13.713700000000001,331,590
13.730383333333334,329,590
13.747066666666667,327,591
13.76375,324,591
13.780433333333335,321,592
13.797116666666668,319,592
13.8138,315,593
13.830483333333333,311,593
13.847166666666668,308,593
13.863850000000001,306,594
13.880533333333334,302,595
13.897216666666667,296,595
13.9139,292,595
13.930583333333335,287,596
13.947266666666668,282,596
13.96395,276,597
13.980633333333333,270,597
13.997316666666668,265,597
14.014000000000001,259,597
14.030683333333334,252,598
14.047366666666667,247,598
14.06405,241,598
14.080733333333335,236,598
14.097416666666668,230,598
14.1141,225,598
14.130783333333333,219,598
14.147466666666668,214,598
14.164150000000001,209,598
14.180833333333334,204,597
14.197516666666667,200,597
14.2142,196,596
14.230883333333335,192,596
14.247566666666668,188,596
14.26425,185,596
14.280933333333333,182,595
14.297616666666668,178,595
14.314300000000001,176,595
14.330983333333334,174,595
14.347666666666667,172,595
14.36435,171,595
14.381033333333335,170,595
14.397716666666668,170,595
14.414400000000002,170,595
14.431083333333333,169,595
14.447766666666668,170,595
14.464450000000001,171,595
14.481133333333334,172,595
14.497816666666667,174,596
14.531183333333335,178,596
14.56455,184,597
14.597916666666668,190,597
14.681333333333335,211,599
14.698016666666668,216,600
14.7147,221,600
14.731383333333333,226,600
14.748066666666668,231,601
14.764750000000001,237,601
14.781433333333334,242,601
14.798116666666667,248,601
14.8148,253,601
14.831483333333335,259,601
14.848166666666668,264,601
14.86485,269,601
14.881533333333334,275,600
14.898216666666668,280,600
14.914900000000001,286,600
14.931583333333334,290,600
14.948266666666667,295,600
14.96495,299,600
14.981633333333335,304,599
14.998316666666668,308,599
15.015,312,599
15.031683333333334,316,598
15.048366666666668,319,598
15.065050000000001,322,598
15.081733333333334,325,597
15.098416666666667,327,597
15.1151,329,597
15.131783333333335,331,597
15.148466666666668,333,597
15.16515,334,597
15.181833333333334,334,597
15.198516666666668,335,597
15.215200000000001,335,597
15.231883333333332,334,597
15.248566666666667,333,597
15.26525,332,597
15.281933333333335,331,597
15.298616666666668,328,598
15.3153,326,598
15.331983333333334,323,598
15.348666666666668,321,599
15.365350000000001,317,599
15.382033333333334,313,600
15.398716666666667,309,600
15.4154,305,601
15.432083333333335,301,601
15.498816666666668,281,603
15.965950000000001,173,599
15.982633333333336,173,599
15.999316666666667,173,599
16.016000000000002,174,599
16.032683333333335,175,599
16.049366666666668,177,599
16.06605,179,599
16.082733333333334,181,600
16.099416666666666,183,599
16.1161,186,600
16.132783333333332,189,601
16.14946666666667,192,601
16.166150000000002,196,601
16.182833333333335,200,601
16.199516666666668,204,601
16.2162,209,602
16.232883333333334,213,602
16.249566666666666,218,602
16.26625,223,602
16.282933333333332,228,602
16.29961666666667,233,602
16.316300000000002,239,602
16.332983333333335,244,603
16.349666666666668,249,602
16.36635,254,602
16.383033333333334,260,602
16.399716666666666,265,602
16.4164,271,602
16.433083333333332,276,602
16.44976666666667,281,601
16.466450000000002,286,601
16.483133333333335,291,601
16.499816666666668,295,600
16.5165,301,599
16.533183333333334,305,599
16.549866666666667,309,599
16.56655,313,598
16.583233333333332,317,598
16.59991666666667,321,597
16.616600000000002,324,596
16.633283333333335,326,596
16.649966666666668,330,595
16.66665,332,594
16.683333333333334,333,594
16.700016666666667,335,594
16.7167,336,593
